,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
178,yulara,,,,,,,,
179,isangel,,,,,,,,
180,benjamin constant,,,,,,,,
181,norman wells,,,,,,,,
182,pangnirtung,,,,,,,,
183,blora,,,,,,,,
184,asau,,,,,,,,
185,portree,,,,,,,,
186,pacific grove,,,,,,,,
187,mpika,,,,,,,,
188,requena,,,,,,,,
189,aksarka,,,,,,,,
190,sheopur,,,,,,,,
191,kieta,,,,,,,,
192,deputatskiy,,,,,,,,
193,twentynine palms,,,,,,,,
194,ballina,,,,,,,,
195,chernyshevskiy,,,,,,,,
196,rumuruti,,,,,,,,
197,basavana bagevadi,,,,,,,,
198,termiz,,,,,,,,
199,malatya,,,,,,,,
200,buckeye,,,,,,,,
201,maltahohe,,,,,,,,
202,henderson,,,,,,,,
203,illoqqortoormiut,,,,,,,,
204,port lincoln,,,,,,,,
205,attawapiskat,,,,,,,,
206,saint anthony,,,,,,,,
207,hay river,,,,,,,,
208,karaul,,,,,,,,
209,amderma,,,,,,,,
210,haibowan,,,,,,,,
211,lufilufi,,,,,,,,
212,uglovka,,,,,,,,
213,marawi,,,,,,,,
214,spartanburg,,,,,,,,
215,kondinskoye,,,,,,,,
216,klaksvik,,,,,,,,
217,kodiak,,,,,,,,
218,abnub,,,,,,,,
219,sai buri,,,,,,,,
220,turayf,,,,,,,,
221,gari,,,,,,,,
222,georgetown,,,,,,,,
223,morshansk,,,,,,,,
224,chumikan,,,,,,,,
225,evanston,,,,,,,,
226,zaraza,,,,,,,,
227,jining,,,,,,,,
228,linxia,,,,,,,,
229,umzimvubu,,,,,,,,
230,aykhal,,,,,,,,
231,iskateley,,,,,,,,
232,new norfolk,,,,,,,,
233,kutum,,,,,,,,
234,vilhena,,,,,,,,
235,saleaula,,,,,,,,
236,bushehr,,,,,,,,
237,palabuhanratu,,,,,,,,
238,esperance,,,,,,,,
239,tual,,,,,,,,
240,mahebourg,,,,,,,,
241,thanh hoa,,,,,,,,
242,nchelenge,,,,,,,,
243,cherskiy,,,,,,,,
244,miraflores,,,,,,,,
245,kamina,,,,,,,,
246,nuuk,,,,,,,,
247,chickasha,,,,,,,,
248,tamworth,,,,,,,,
249,tigil,,,,,,,,
250,russell,,,,,,,,
251,mahajanga,,,,,,,,
252,bilma,,,,,,,,
253,tuktoyaktuk,,,,,,,,
254,atenas de san cristobal,,,,,,,,
255,cockburn town,,,,,,,,
256,maymanak,,,,,,,,
257,hambantota,,,,,,,,
258,pundaguitan,,,,,,,,
259,ahipara,,,,,,,,
260,norton shores,,,,,,,,
261,namibe,,,,,,,,
262,bathsheba,,,,,,,,
263,natal,,,,,,,,
264,miranda,,,,,,,,
265,ola,,,,,,,,
266,anadyr,,,,,,,,
267,taburi,,,,,,,,
268,inhambane,,,,,,,,
269,sur,,,,,,,,
270,haradok,,,,,,,,
271,surgut,,,,,,,,
272,kulhudhuffushi,,,,,,,,
273,masterton,,,,,,,,
274,veraval,,,,,,,,
275,ponta do sol,,,,,,,,
276,bubaque,,,,,,,,
277,pelym,,,,,,,,
278,riyadh,,,,,,,,
279,adre,,,,,,,,
280,ostersund,,,,,,,,
281,port hedland,,,,,,,,
282,karla,,,,,,,,
283,mareeba,,,,,,,,
284,grand gaube,,,,,,,,
285,turukhansk,,,,,,,,
286,srednekolymsk,,,,,,,,
287,lota,,,,,,,,
288,alenquer,,,,,,,,
289,ostrovnoy,,,,,,,,
290,katsuura,,,,,,,,
291,cocachacra,,,,,,,,
292,sarai,,,,,,,,
293,dodola,,,,,,,,
294,surt,,,,,,,,
295,banjar,,,,,,,,
296,san cristobal,,,,,,,,
297,vana-vigala,,,,,,,,
298,ancud,,,,,,,,
299,eskil,,,,,,,,
300,sentyabrskiy,,,,,,,,
301,nushki,,,,,,,,
302,jumla,,,,,,,,
303,ilhabela,,,,,,,,
304,labutta,,,,,,,,
305,belaya gora,,,,,,,,
306,zyryanka,,,,,,,,
307,kosh-agach,,,,,,,,
308,akalgarh,,,,,,,,
309,ambodifototra,,,,,,,,
310,chapais,,,,,,,,
311,salalah,,,,,,,,
312,tumannyy,,,,,,,,
313,constitucion,,,,,,,,
314,viedma,,,,,,,,
315,agva,,,,,,,,
316,coos bay,,,,,,,,
317,la palma,,,,,,,,
318,muriwai beach,,,,,,,,
319,iralaya,,,,,,,,
320,vaitupu,,,,,,,,
321,bhavnagar,,,,,,,,
322,krasnyy chikoy,,,,,,,,
323,luanda,,,,,,,,
324,kropotkin,,,,,,,,
325,benghazi,,,,,,,,
326,basco,,,,,,,,
327,aitape,,,,,,,,
328,kadarkut,,,,,,,,
329,yicheng,,,,,,,,
330,pangkalanbuun,,,,,,,,
331,compostela,,,,,,,,
332,erenhot,,,,,,,,
333,saint-leu,,,,,,,,
334,porto novo,,,,,,,,
335,kavaratti,,,,,,,,
336,marsaxlokk,,,,,,,,
337,north bend,,,,,,,,
338,severo-kurilsk,,,,,,,,
339,vila velha,,,,,,,,
340,bolungarvik,,,,,,,,
341,tayu,,,,,,,,
342,san jose,,,,,,,,
343,kawalu,,,,,,,,
344,dekoa,,,,,,,,
345,terra santa,,,,,,,,
346,khilok,,,,,,,,
347,mys shmidta,,,,,,,,
348,fomboni,,,,,,,,
349,gwanda,,,,,,,,
350,marsa matruh,,,,,,,,
351,minsk mazowiecki,,,,,,,,
352,saint-georges,,,,,,,,
353,anchorage,,,,,,,,
354,labuan,,,,,,,,
355,guerrero negro,,,,,,,,
356,sokoni,,,,,,,,
357,puerto rondon,,,,,,,,
358,fukue,,,,,,,,
359,itzehoe,,,,,,,,
360,santa fe,,,,,,,,
361,edmundston,,,,,,,,
362,port blair,,,,,,,,
363,mayya,,,,,,,,
364,moctezuma,,,,,,,,
365,tunduru,,,,,,,,
366,teguldet,,,,,,,,
367,tselinnoye,,,,,,,,
368,tiznit,,,,,,,,
369,kamenka,,,,,,,,
370,lorengau,,,,,,,,
371,alofi,,,,,,,,
372,yumen,,,,,,,,
373,darhan,,,,,,,,
374,florianopolis,,,,,,,,
375,celestun,,,,,,,,
376,san andres,,,,,,,,
377,codrington,,,,,,,,
378,korla,,,,,,,,
379,dennery,,,,,,,,
380,shingu,,,,,,,,
381,mwense,,,,,,,,
382,cururupu,,,,,,,,
383,asyut,,,,,,,,
384,sioux lookout,,,,,,,,
385,houston,,,,,,,,
386,la primavera,,,,,,,,
387,cartagena,,,,,,,,
388,calama,,,,,,,,
389,faya,,,,,,,,
390,udachnyy,,,,,,,,
391,margate,,,,,,,,
392,nantucket,,,,,,,,
393,luancheng,,,,,,,,
394,zhigansk,,,,,,,,
395,puerto leguizamo,,,,,,,,
396,makinsk,,,,,,,,
397,pangody,,,,,,,,
398,lagoa,,,,,,,,
399,leningradskiy,,,,,,,,
400,ler,,,,,,,,
401,kapuskasing,,,,,,,,
402,gigmoto,,,,,,,,
403,rudbar,,,,,,,,
404,suzun,,,,,,,,
405,uray,,,,,,,,
406,lwowek slaski,,,,,,,,
407,sao joao da barra,,,,,,,,
408,marzuq,,,,,,,,
409,beian,,,,,,,,
410,bontang,,,,,,,,
411,bethel,,,,,,,,
412,mayo,,,,,,,,
413,lodja,,,,,,,,
414,kayerkan,,,,,,,,
415,guiren,,,,,,,,
416,doctor pedro p. pena,,,,,,,,
417,paamiut,,,,,,,,
418,puerto penasco,,,,,,,,
419,fasa,,,,,,,,
420,awbari,,,,,,,,
421,sriperumbudur,,,,,,,,
422,mudgee,,,,,,,,
423,ulladulla,,,,,,,,
424,porto de moz,,,,,,,,
425,itarema,,,,,,,,
426,djambala,,,,,,,,
427,mildura,,,,,,,,
428,kampong thum,,,,,,,,
429,taoudenni,,,,,,,,
430,sovetskiy,,,,,,,,
431,sinnamary,,,,,,,,
432,chenove,,,,,,,,
433,andenes,,,,,,,,
434,waingapu,,,,,,,,
435,salmas,,,,,,,,
436,takoradi,,,,,,,,
437,roseburg,,,,,,,,
438,kolomna,,,,,,,,
439,araouane,,,,,,,,
440,flinders,,,,,,,,
441,havre-saint-pierre,,,,,,,,
442,freeport,,,,,,,,
443,buzmeyin,,,,,,,,
444,kapit,,,,,,,,
445,moissala,,,,,,,,
446,ishigaki,,,,,,,,
447,samusu,,,,,,,,
448,pemangkat,,,,,,,,
449,burica,,,,,,,,
450,terrace,,,,,,,,
451,willmar,,,,,,,,
452,lisakovsk,,,,,,,,
453,madison,,,,,,,,
454,warqla,,,,,,,,
455,tavda,,,,,,,,
456,tototlan,,,,,,,,
457,piracuruca,,,,,,,,
458,tabuk,,,,,,,,
459,rawson,,,,,,,,
460,meulaboh,,,,,,,,
461,kang,,,,,,,,
462,gilroy,,,,,,,,
463,mecca,,,,,,,,
464,maues,,,,,,,,
465,kikwit,,,,,,,,
466,fairbanks,,,,,,,,
467,galitsy,,,,,,,,
468,yunjinghong,,,,,,,,
469,alpena,,,,,,,,
470,vao,,,,,,,,
471,avera,,,,,,,,
472,utiel,,,,,,,,
473,santa marinella,,,,,,,,
474,bowen,,,,,,,,
475,bakchar,,,,,,,,
476,rungata,,,,,,,,
477,calituban,,,,,,,,
478,de aar,,,,,,,,
479,asilah,,,,,,,,
480,lazaro cardenas,,,,,,,,
481,clyde river,,,,,,,,
482,ambon,,,,,,,,
483,puerto escondido,,,,,,,,
484,warrington,,,,,,,,
485,yerofey pavlovich,,,,,,,,
486,laguna,,,,,,,,
487,san juan del sur,,,,,,,,
488,padang,,,,,,,,
489,limbang,,,,,,,,
490,wilmington,,,,,,,,
491,gravdal,,,,,,,,
492,san pedro,,,,,,,,
493,anzio,,,,,,,,
494,san quintin,,,,,,,,
495,abu samrah,,,,,,,,
496,mount isa,,,,,,,,
497,keetmanshoop,,,,,,,,
498,sirfa,,,,,,,,
499,iqaluit,,,,,,,,
500,moron,,,,,,,,
501,nelson bay,,,,,,,,
502,bullhead city,,,,,,,,
503,iracoubo,,,,,,,,
504,mumford,,,,,,,,
505,zheleznodorozhnyy,,,,,,,,
506,sweetwater,,,,,,,,
507,saint-francois,,,,,,,,
508,nador,,,,,,,,
509,moscow,,,,,,,,
510,yanchukan,,,,,,,,
511,prince rupert,,,,,,,,
512,lolua,,,,,,,,
513,la asuncion,,,,,,,,
514,valparaiso,,,,,,,,
515,mersin,,,,,,,,
516,rogers,,,,,,,,
517,tazovskiy,,,,,,,,
518,murgab,,,,,,,,
519,bilibino,,,,,,,,
520,zhuanghe,,,,,,,,
521,necochea,,,,,,,,
522,abu dhabi,,,,,,,,
523,medicine hat,,,,,,,,
524,whitehorse,,,,,,,,
525,kuryk,,,,,,,,
526,igmaya-an,,,,,,,,
527,ngama,,,,,,,,
528,lianzhou,,,,,,,,
529,nueve de julio,,,,,,,,
530,yinchuan,,,,,,,,
531,tonota,,,,,,,,
532,ucluelet,,,,,,,,
533,lakatoro,,,,,,,,
534,bonthe,,,,,,,,
535,qaqortoq,,,,,,,,
536,lavrentiya,,,,,,,,
537,varnavino,,,,,,,,
538,mitsamiouli,,,,,,,,
539,dudinka,,,,,,,,
540,sobolevo,,,,,,,,
541,texarkana,,,,,,,,
542,guarapari,,,,,,,,
543,asmara,,,,,,,,
544,bloomfield,,,,,,,,
545,kigoma,,,,,,,,
546,jaguaruana,,,,,,,,
547,la ronge,,,,,,,,
548,tura,,,,,,,,
549,atherton,,,,,,,,
550,san carlos,,,,,,,,
551,bada,,,,,,,,
552,biak,,,,,,,,
553,champerico,,,,,,,,
554,petropavlovskaya,,,,,,,,
555,nongan,,,,,,,,
556,mount gambier,,,,,,,,
557,lincoln,,,,,,,,
558,ngorongoro,,,,,,,,
559,yabelo,,,,,,,,
560,harper,,,,,,,,
561,tukrah,,,,,,,,
562,strezhevoy,,,,,,,,
563,roma,,,,,,,,
564,karratha,,,,,,,,
565,nalchiti,,,,,,,,
566,grindavik,,,,,,,,
567,benguela,,,,,,,,
568,porto walter,,,,,,,,
569,teo,,,,,,,,
570,ciudad bolivar,,,,,,,,
571,yangambi,,,,,,,,
572,bizhbulyak,,,,,,,,
573,cabedelo,,,,,,,,
574,caldwell,,,,,,,,
575,atka,,,,,,,,
576,artyk,,,,,,,,
577,akdepe,,,,,,,,
578,guanica,,,,,,,,
579,westport,,,,,,,,
580,baryatino,,,,,,,,
581,moose factory,,,,,,,,
582,olga,,,,,,,,
583,naze,,,,,,,,
584,shimoda,,,,,,,,
585,sumenep,,,,,,,,
586,chaman,,,,,,,,
587,wajima,,,,,,,,
588,lafiagi,,,,,,,,
589,valdivia,,,,,,,,
590,havelock,,,,,,,,
591,menongue,,,,,,,,
592,dolores,,,,,,,,
593,bayir,,,,,,,,
594,praia da vitoria,,,,,,,,
595,cayenne,,,,,,,,
